# iteration, function_name, metric_value

0, remove_two, 78.613
4, swap_two, 73.568
6, replace_two_fill, 41.330
7, random, 39.757
12, replace_one, 25.631
13, swap_three, 24.868
21, replace_one, 15.634
25, replace_three, 10.143
40, swap_three, 10.067
51, replace_one_fill, 10.003
56, swap_three, 9.988
64, replace_one_fill, 9.935
77, random, 9.828
80, replace_two, 9.744
83, replace_one_fill, 9.583
0, swap_three, 22.776
2, replace_one_fill, 14.774
6, replace_two_fill, 10.898
17, replace_one_fill, 10.749
29, swap_two, 10.300
30, swap_three, 10.122
36, swap_one, 9.900
69, replace_two_fill, 9.346
73, replace_one, 9.268
88, replace_one_fill, 9.251
95, swap_one, 9.225
0, remove_one, 60.314
1, replace_one_fill, 21.169
2, replace_two, 18.180
8, replace_one_fill, 13.834
12, replace_three, 10.307
14, swap_three, 10.306
18, replace_two, 9.519
0, remove_one, 15.114
6, swap_three, 14.450
8, replace_one, 13.114
9, replace_one_fill, 12.053
10, replace_two_fill, 11.453
12, replace_one_fill, 11.169
13, replace_one, 9.825
32, replace_two, 9.260
33, swap_three, 9.229
97, replace_one_fill, 9.201
0, replace_three_fill, 33.618
5, swap_three, 32.898
8, replace_one_fill, 26.857
10, replace_three_fill, 12.252
19, swap_three, 11.892
20, swap_three, 11.779
22, replace_one_fill, 11.396
25, swap_one, 10.453
31, swap_three, 10.343
39, swap_one, 9.783
46, replace_one_fill, 9.525
50, swap_two, 9.517
61, swap_two, 9.495
63, swap_two, 9.482
67, swap_two, 9.366
0, replace_two_fill, 43.050
1, random, 24.530
5, replace_one, 12.348
9, swap_three, 11.121
16, swap_one, 10.225
32, swap_one, 10.019
41, replace_three, 10.004
47, swap_one, 9.954
48, swap_one, 9.316
82, swap_three, 9.310
83, swap_three, 9.300
0, swap_two, 84.553
2, swap_two, 48.304
6, swap_three, 47.687
7, replace_one_fill, 43.379
8, replace_three_fill, 25.477
9, replace_three, 22.790
10, swap_three, 18.199
21, random, 12.672
25, replace_one_fill, 12.261
35, replace_one_fill, 11.434
36, replace_one, 10.524
39, replace_one, 9.781
69, replace_one_fill, 9.688
0, remove_three, 17.668
6, swap_two, 11.096
12, replace_two, 9.771
22, swap_three, 9.717
24, replace_one_fill, 9.501
40, replace_one_fill, 9.422
47, swap_three, 9.409
65, replace_one_fill, 9.372
0, replace_three_fill, 86.505
2, random, 86.177
3, replace_one_fill, 32.874
4, swap_three, 30.633
7, swap_one, 25.943
10, swap_three, 21.730
11, replace_three_fill, 13.688
13, replace_one, 12.063
21, replace_two, 10.433
31, replace_two_fill, 10.372
36, swap_three, 10.314
78, swap_two, 10.044
86, replace_one, 9.740
0, swap_two, 18.854
1, replace_three_fill, 10.187
5, swap_three, 10.152
7, swap_three, 10.090
10, replace_one_fill, 9.955
19, swap_three, 9.864
28, swap_three, 9.774
55, replace_two_fill, 9.461
58, replace_one, 9.422
72, replace_one_fill, 9.362
75, replace_two_fill, 9.290
79, swap_one, 9.219
